"","modality","type","period","brain_measure","estimate","SE","DF","t","p","effect","sig","sig_level","brain_measure_name","subtype"
"377","pain","visual","cue","Ctx_MT_R",0.037,0.029,2935.44,1.31,0.192,"cue_mean",FALSE,"","Right V5 (MT)","pain_early_percept"
"378","vision","visual","cue","Ctx_MT_R",-0.011,0.03,334.09,-0.37,0.708,"cue_mean",FALSE,"","Right V5 (MT)","pain_early_percept"
"379","pain","visual","cue","Ctx_VMV1_R",0.035,0.03,2936.04,1.17,0.241,"cue_mean",FALSE,"","Right ventro-medial V1","visual_other"
"380","vision","visual","cue","Ctx_VMV1_R",-0.032,0.03,2955.03,-1.06,0.289,"cue_mean",FALSE,"","Right ventro-medial V1","visual_other"
"381","pain","visual","cue","Ctx_VMV3_R",0.014,0.029,2940.39,0.48,0.632,"cue_mean",FALSE,"","Right ventro-medial V3","visual_other"
"382","vision","visual","cue","Ctx_VMV3_R",-0.041,0.03,2957.66,-1.37,0.17,"cue_mean",FALSE,"","Right ventro-medial V3","visual_other"
"383","pain","visual","cue","Ctx_V4t_R",0.012,0.029,2929.19,0.41,0.685,"cue_mean",FALSE,"","Right V4t","visual_other"
"384","vision","visual","cue","Ctx_V4t_R",-0.048,0.03,355.97,-1.6,0.11,"cue_mean",FALSE,"","Right V4t","visual_other"
"385","pain","visual","cue","Ctx_V3CD_R",-0.014,0.029,281.93,-0.49,0.626,"cue_mean",FALSE,"","Right V3CD","visual_other"
"386","vision","visual","cue","Ctx_V3CD_R",-0.046,0.03,2955.13,-1.55,0.12,"cue_mean",FALSE,"","Right V3CD","visual_other"
"387","pain","visual","cue","Ctx_VMV2_R",0.021,0.03,2931.11,0.69,0.489,"cue_mean",FALSE,"","Right ventro-medial V2","visual_other"
"388","vision","visual","cue","Ctx_VMV2_R",-0.03,0.03,2954.49,-0.99,0.322,"cue_mean",FALSE,"","Right ventro-medial V2","visual_other"
"389","pain","visual","cue","Thal_Lateral_Geniculate_Nucleus_L",-0.003,0.031,276.31,-0.1,0.919,"cue_mean",FALSE,"","Left LGN","visual_early_percept"
"390","vision","visual","cue","Thal_Lateral_Geniculate_Nucleus_L",-0.058,0.032,257.34,-1.79,0.074,"cue_mean",FALSE,"","Left LGN","visual_early_percept"
"391","pain","visual","cue","Thal_Lateral_Geniculate_Nucleus_R",0.018,0.031,2935.74,0.59,0.554,"cue_mean",FALSE,"","Right LGN","visual_early_percept"
"392","vision","visual","cue","Thal_Lateral_Geniculate_Nucleus_R",-0.037,0.031,2962.53,-1.22,0.224,"cue_mean",FALSE,"","Right LGN","visual_early_percept"
"393","pain","neuromarker","stim","nps",0.006,0.027,2895.26,0.24,0.812,"cue_var",FALSE,"","NPS","pain_neuromarker"
"394","vision","neuromarker","stim","nps",0.022,0.03,2947.94,0.75,0.456,"cue_var",FALSE,"","NPS","pain_neuromarker"
"395","pain","neuromarker","stim","siips",0.016,0.028,2937.62,0.55,0.586,"cue_var",FALSE,"","SIIPS","pain_neuromarker"
"396","vision","neuromarker","stim","siips",0.051,0.03,2936.69,1.68,0.094,"cue_var",FALSE,"","SIIPS","pain_neuromarker"
"397","pain","pain","stim","Thal_VPLM_R",0.008,0.029,2947.69,0.28,0.783,"cue_var",FALSE,"","Right VPL/VPM Thal","pain_early_percept"
"398","vision","pain","stim","Thal_VPLM_R",-0.033,0.031,2964.66,-1.07,0.284,"cue_var",FALSE,"","Right VPL/VPM Thal","pain_early_percept"
"399","pain","pain","stim","Thal_VPLM_L",0.001,0.029,2906.58,0.05,0.962,"cue_var",FALSE,"","Left VPL/VPM Thal","pain_early_percept"
"400","vision","pain","stim","Thal_VPLM_L",-0.024,0.031,2965.59,-0.77,0.441,"cue_var",FALSE,"","Left VPL/VPM Thal","pain_early_percept"
"401","pain","pain","stim","Thal_MD",-0.027,0.029,2949.77,-0.94,0.347,"cue_var",FALSE,"","Med Thal","pain_percept"
"402","vision","pain","stim","Thal_MD",-0.035,0.031,2911.42,-1.15,0.251,"cue_var",FALSE,"","Med Thal","pain_percept"
"403","pain","pain","stim","Bstem_PAG",0.054,0.03,2907.83,1.79,0.073,"cue_var",FALSE,"","PAG","pain_percept"
"404","vision","pain","stim","Bstem_PAG",0.031,0.031,2917.08,0.99,0.323,"cue_var",FALSE,"","PAG","pain_percept"
"405","pain","pain","stim","dpIns_L",0.002,0.028,2905.65,0.06,0.956,"cue_var",FALSE,"","Left dpIns","pain_early_percept"
"406","vision","pain","stim","dpIns_L",0,0.031,2950.38,0.01,0.995,"cue_var",FALSE,"","Left dpIns","pain_early_percept"
"407","pain","pain","stim","dpIns_R",-0.019,0.027,2949.06,-0.68,0.499,"cue_var",FALSE,"","Right dpIns","pain_early_percept"
"408","vision","pain","stim","dpIns_R",0.019,0.031,2948.54,0.62,0.536,"cue_var",FALSE,"","Right dpIns","pain_early_percept"
"409","pain","pain","stim","aIns_L",0.002,0.029,2949.55,0.06,0.951,"cue_var",FALSE,"","Left aIns","pain_other"
"410","vision","pain","stim","aIns_L",-0.027,0.031,2916.54,-0.86,0.389,"cue_var",FALSE,"","Left aIns","pain_other"
"411","pain","pain","stim","aIns_R",0.008,0.028,2904.1,0.29,0.773,"cue_var",FALSE,"","Right aIns","pain_other"
"412","vision","pain","stim","aIns_R",-0.01,0.031,2958.73,-0.31,0.755,"cue_var",FALSE,"","Right aIns","pain_other"
"413","pain","pain","stim","aMCC_MPFC",0.001,0.028,2904.97,0.03,0.973,"cue_var",FALSE,"","aMCC","pain_percept"
"414","vision","pain","stim","aMCC_MPFC",-0.012,0.031,2950.89,-0.39,0.695,"cue_var",FALSE,"","aMCC","pain_percept"
"415","pain","pain","stim","s1_handplus_L",-0.012,0.027,2907.82,-0.46,0.645,"cue_var",FALSE,"","Left S1 hand","pain_other"
"416","vision","pain","stim","s1_handplus_L",-0.006,0.03,2956.66,-0.21,0.837,"cue_var",FALSE,"","Left S1 hand","pain_other"
"417","pain","pain","stim","s1_handplus_R",-0.009,0.026,2948.75,-0.33,0.738,"cue_var",FALSE,"","Right S1 hand","pain_other"
"418","vision","pain","stim","s1_handplus_R",0.012,0.031,2946.89,0.39,0.699,"cue_var",FALSE,"","Right S1 hand","pain_other"
"419","pain","higher_level","stim","Ctx_IPS1_L",-0.027,0.029,2949.87,-0.91,0.362,"cue_var",FALSE,"","Left IPS","visual_higher_level"
"420","vision","higher_level","stim","Ctx_IPS1_L",-0.021,0.029,2958.83,-0.71,0.479,"cue_var",FALSE,"","Left IPS","visual_higher_level"
"421","pain","higher_level","stim","Ctx_11l_L",-0.038,0.03,2904.63,-1.29,0.198,"cue_var",FALSE,"","Left mid-lateral OFC","pain_higher_level"
"422","vision","higher_level","stim","Ctx_11l_L",-0.017,0.031,2958.43,-0.56,0.575,"cue_var",FALSE,"","Left mid-lateral OFC","pain_higher_level"
"423","pain","higher_level","stim","Ctx_IPS1_R",-0.012,0.03,2907.28,-0.41,0.682,"cue_var",FALSE,"","Right IPS","visual_higher_level"
"424","vision","higher_level","stim","Ctx_IPS1_R",-0.036,0.029,2956.83,-1.24,0.216,"cue_var",FALSE,"","Right IPS","visual_higher_level"
"425","pain","higher_level","stim","Ctx_p9_46v_R",-0.04,0.03,2949.91,-1.34,0.181,"cue_var",FALSE,"","Right dlPFC","pain_higher_level"
"426","vision","higher_level","stim","Ctx_p9_46v_R",-0.034,0.03,2954.8,-1.11,0.267,"cue_var",FALSE,"","Right dlPFC","pain_higher_level"
"427","pain","higher_level","stim","Ctx_11l_R",-0.049,0.03,2949.97,-1.64,0.102,"cue_var",FALSE,"","Right mid-lateral OFC","pain_higher_level"
"428","vision","higher_level","stim","Ctx_11l_R",0.009,0.031,2949.91,0.29,0.775,"cue_var",FALSE,"","Right mid-lateral OFC","pain_higher_level"
"429","pain","higher_level","stim","NAc_shell_like_R",-0.052,0.03,2908.78,-1.73,0.084,"cue_var",FALSE,"","Right NAc shell","pain_higher_level"
"430","vision","higher_level","stim","NAc_shell_like_R",0.024,0.031,2960.28,0.77,0.443,"cue_var",FALSE,"","Right NAc shell","pain_higher_level"
"431","pain","higher_level","stim","NAc_core_like_R",-0.075,0.029,2904.97,-2.53,0.011,"cue_var",TRUE,"*","Right NAc core","pain_higher_level"
"432","vision","higher_level","stim","NAc_core_like_R",0.019,0.031,2961.6,0.61,0.541,"cue_var",FALSE,"","Right NAc core","pain_higher_level"
"433","pain","higher_level","stim","NAc_shell_like_L",-0.02,0.03,2950.11,-0.67,0.5,"cue_var",FALSE,"","Left NAc shell","pain_higher_level"
"434","vision","higher_level","stim","NAc_shell_like_L",-0.015,0.031,2966.02,-0.48,0.63,"cue_var",FALSE,"","Left NAc shell","pain_higher_level"
"435","pain","higher_level","stim","NAc_core_like_L",-0.104,0.03,2949.71,-3.47,0.001,"cue_var",TRUE,"**","Left NAc core","pain_higher_level"
"436","vision","higher_level","stim","NAc_core_like_L",0.022,0.031,2968.71,0.71,0.475,"cue_var",FALSE,"","Left NAc core","pain_higher_level"
"437","pain","higher_level","stim","Ctx_8C_L_and_Ctx_46_L",-0.03,0.03,2949.98,-1.02,0.307,"cue_var",FALSE,"","Left dlPFC","pain_higher_level"
"438","vision","higher_level","stim","Ctx_8C_L_and_Ctx_46_L",-0.019,0.031,2952.78,-0.61,0.541,"cue_var",FALSE,"","Left dlPFC","pain_higher_level"
"439","pain","visual","stim","Ctx_V1_L",-0.023,0.029,2908.28,-0.81,0.418,"cue_var",FALSE,"","Left V1","visual_early_percept"
"440","vision","visual","stim","Ctx_V1_L",-0.011,0.029,2950.97,-0.39,0.696,"cue_var",FALSE,"","Left V1","visual_early_percept"
"441","pain","visual","stim","Ctx_V2_L",-0.022,0.029,2949.46,-0.77,0.443,"cue_var",FALSE,"","Left V2","visual_early_percept"
"442","vision","visual","stim","Ctx_V2_L",0.003,0.029,2952.97,0.11,0.916,"cue_var",FALSE,"","Left V2","visual_early_percept"
"443","pain","visual","stim","Ctx_V3_L",-0.028,0.028,2908.38,-1,0.317,"cue_var",FALSE,"","Left V3","pain_early_percept"
"444","vision","visual","stim","Ctx_V3_L",0.012,0.028,2955.89,0.42,0.672,"cue_var",FALSE,"","Left V3","pain_early_percept"
"445","pain","visual","stim","Ctx_V4_L",-0.018,0.029,2908.99,-0.62,0.534,"cue_var",FALSE,"","Left V4","pain_early_percept"
"446","vision","visual","stim","Ctx_V4_L",-0.012,0.025,2959.46,-0.49,0.624,"cue_var",FALSE,"","Left V4","pain_early_percept"
"447","pain","visual","stim","Ctx_V3A_L",-0.018,0.029,2903.22,-0.63,0.53,"cue_var",FALSE,"","Left V3A","visual_other"
"448","vision","visual","stim","Ctx_V3A_L",-0.003,0.028,2955.52,-0.1,0.92,"cue_var",FALSE,"","Left V3A","visual_other"
"449","pain","visual","stim","Ctx_V3B_L",-0.01,0.029,2949.57,-0.35,0.724,"cue_var",FALSE,"","Left V3B","visual_other"
"450","vision","visual","stim","Ctx_V3B_L",-0.024,0.028,2960.84,-0.88,0.379,"cue_var",FALSE,"","Left V3B","visual_other"
"451","pain","visual","stim","Ctx_MT_L",0.008,0.029,2948.69,0.29,0.77,"cue_var",FALSE,"","Left V5 (MT)","pain_early_percept"
"452","vision","visual","stim","Ctx_MT_L",-0.036,0.029,2961.18,-1.24,0.215,"cue_var",FALSE,"","Left V5 (MT)","pain_early_percept"
"453","pain","visual","stim","Ctx_VMV1_L",0.01,0.029,2949.6,0.33,0.74,"cue_var",FALSE,"","Left ventro-medial V1","visual_other"
"454","vision","visual","stim","Ctx_VMV1_L",0.033,0.03,2914.96,1.09,0.275,"cue_var",FALSE,"","Left ventro-medial V1","visual_other"
"455","pain","visual","stim","Ctx_VMV3_L",0.016,0.029,2949.28,0.57,0.571,"cue_var",FALSE,"","Left ventro-medial V3","visual_other"
"456","vision","visual","stim","Ctx_VMV3_L",-0.012,0.028,2962.84,-0.45,0.651,"cue_var",FALSE,"","Left ventro-medial V3","visual_other"
"457","pain","visual","stim","Ctx_V4t_L",0,0.029,2948.46,0.01,0.995,"cue_var",FALSE,"","Left V4t","visual_other"
"458","vision","visual","stim","Ctx_V4t_L",-0.041,0.027,2961.41,-1.54,0.125,"cue_var",FALSE,"","Left V4t","visual_other"
"459","pain","visual","stim","Ctx_V3CD_L",-0.021,0.029,2906.98,-0.71,0.476,"cue_var",FALSE,"","Left V3CD","visual_other"
"460","vision","visual","stim","Ctx_V3CD_L",-0.038,0.026,2960.56,-1.48,0.139,"cue_var",FALSE,"","Left V3CD","visual_other"
"461","pain","visual","stim","Ctx_VMV2_L",0.026,0.029,2949.58,0.89,0.375,"cue_var",FALSE,"","Left ventro-medial V2","visual_other"
"462","vision","visual","stim","Ctx_VMV2_L",-0.02,0.029,2959.18,-0.7,0.486,"cue_var",FALSE,"","Left ventro-medial V2","visual_other"
"463","pain","visual","stim","Ctx_V1_R",-0.018,0.029,2908.75,-0.61,0.539,"cue_var",FALSE,"","Right V1","visual_early_percept"
"464","vision","visual","stim","Ctx_V1_R",0.022,0.029,2946.97,0.78,0.438,"cue_var",FALSE,"","Right V1","visual_early_percept"
"465","pain","visual","stim","Ctx_V2_R",-0.015,0.029,2908.92,-0.51,0.609,"cue_var",FALSE,"","Right V2","visual_early_percept"
"466","vision","visual","stim","Ctx_V2_R",0.013,0.028,2956.54,0.46,0.646,"cue_var",FALSE,"","Right V2","visual_early_percept"
"467","pain","visual","stim","Ctx_V3_R",-0.033,0.029,2908.56,-1.14,0.256,"cue_var",FALSE,"","Right V3","pain_early_percept"
"468","vision","visual","stim","Ctx_V3_R",0.024,0.027,2961.27,0.87,0.386,"cue_var",FALSE,"","Right V3","pain_early_percept"
"469","pain","visual","stim","Ctx_V4_R",-0.027,0.029,2908.86,-0.94,0.347,"cue_var",FALSE,"","Right V4","pain_early_percept"
"470","vision","visual","stim","Ctx_V4_R",-0.009,0.027,2953.57,-0.32,0.747,"cue_var",FALSE,"","Right V4","pain_early_percept"
"471","pain","visual","stim","Ctx_V3A_R",-0.021,0.028,2907.22,-0.76,0.449,"cue_var",FALSE,"","Right V3A","visual_other"
"472","vision","visual","stim","Ctx_V3A_R",0.014,0.027,2958.02,0.54,0.59,"cue_var",FALSE,"","Right V3A","visual_other"
"473","pain","visual","stim","Ctx_V3B_R",-0.003,0.029,2949.2,-0.11,0.909,"cue_var",FALSE,"","Right V3B","visual_other"
"474","vision","visual","stim","Ctx_V3B_R",-0.013,0.029,2961.97,-0.44,0.657,"cue_var",FALSE,"","Right V3B","visual_other"
"475","pain","visual","stim","Ctx_MT_R",-0.011,0.029,2939.33,-0.37,0.715,"cue_var",FALSE,"","Right V5 (MT)","pain_early_percept"
"476","vision","visual","stim","Ctx_MT_R",-0.028,0.029,2957.03,-0.99,0.321,"cue_var",FALSE,"","Right V5 (MT)","pain_early_percept"
"477","pain","visual","stim","Ctx_VMV1_R",0,0.029,2907.36,0,0.998,"cue_var",FALSE,"","Right ventro-medial V1","visual_other"
"478","vision","visual","stim","Ctx_VMV1_R",-0.013,0.03,2955.59,-0.43,0.668,"cue_var",FALSE,"","Right ventro-medial V1","visual_other"
"479","pain","visual","stim","Ctx_VMV3_R",0.035,0.028,2907.41,1.22,0.221,"cue_var",FALSE,"","Right ventro-medial V3","visual_other"
"480","vision","visual","stim","Ctx_VMV3_R",0.016,0.028,2910.07,0.55,0.582,"cue_var",FALSE,"","Right ventro-medial V3","visual_other"
"481","pain","visual","stim","Ctx_V4t_R",-0.013,0.03,2857.14,-0.45,0.653,"cue_var",FALSE,"","Right V4t","visual_other"
"482","vision","visual","stim","Ctx_V4t_R",-0.021,0.029,2952.88,-0.73,0.466,"cue_var",FALSE,"","Right V4t","visual_other"
"483","pain","visual","stim","Ctx_V3CD_R",0.006,0.029,2907.74,0.19,0.846,"cue_var",FALSE,"","Right V3CD","visual_other"
"484","vision","visual","stim","Ctx_V3CD_R",-0.046,0.026,2946.21,-1.76,0.079,"cue_var",FALSE,"","Right V3CD","visual_other"
"485","pain","visual","stim","Ctx_VMV2_R",0.032,0.029,2908.97,1.1,0.271,"cue_var",FALSE,"","Right ventro-medial V2","visual_other"
"486","vision","visual","stim","Ctx_VMV2_R",0.013,0.029,2875.07,0.45,0.65,"cue_var",FALSE,"","Right ventro-medial V2","visual_other"
"487","pain","visual","stim","Thal_Lateral_Geniculate_Nucleus_L",-0.023,0.03,2908.7,-0.77,0.441,"cue_var",FALSE,"","Left LGN","visual_early_percept"
"488","vision","visual","stim","Thal_Lateral_Geniculate_Nucleus_L",0.011,0.031,2963.8,0.37,0.712,"cue_var",FALSE,"","Left LGN","visual_early_percept"
"489","pain","visual","stim","Thal_Lateral_Geniculate_Nucleus_R",0.008,0.03,2950.51,0.27,0.789,"cue_var",FALSE,"","Right LGN","visual_early_percept"
"490","vision","visual","stim","Thal_Lateral_Geniculate_Nucleus_R",0.012,0.031,2926.08,0.4,0.687,"cue_var",FALSE,"","Right LGN","visual_early_percept"
"491","pain","neuromarker","cue","nps",0.029,0.029,2881.32,0.97,0.333,"cue_var",FALSE,"","NPS","pain_neuromarker"
"492","vision","neuromarker","cue","nps",0.014,0.03,2955.17,0.46,0.643,"cue_var",FALSE,"","NPS","pain_neuromarker"
"493","pain","neuromarker","cue","siips",0.041,0.029,2918.97,1.39,0.165,"cue_var",FALSE,"","SIIPS","pain_neuromarker"
"494","vision","neuromarker","cue","siips",-0.038,0.031,2940.93,-1.23,0.22,"cue_var",FALSE,"","SIIPS","pain_neuromarker"
"495","pain","pain","cue","Thal_VPLM_R",-0.015,0.03,2940.96,-0.5,0.618,"cue_var",FALSE,"","Right VPL/VPM Thal","pain_early_percept"
"496","vision","pain","cue","Thal_VPLM_R",0.061,0.031,2957.92,2,0.046,"cue_var",TRUE,"*","Right VPL/VPM Thal","pain_early_percept"
"497","pain","pain","cue","Thal_VPLM_L",0.033,0.03,2898.59,1.12,0.264,"cue_var",FALSE,"","Left VPL/VPM Thal","pain_early_percept"
"498","vision","pain","cue","Thal_VPLM_L",0.063,0.03,2964.48,2.07,0.038,"cue_var",TRUE,"*","Left VPL/VPM Thal","pain_early_percept"
"499","pain","pain","cue","Thal_MD",-0.005,0.029,2886.39,-0.18,0.854,"cue_var",FALSE,"","Med Thal","pain_percept"
"500","vision","pain","cue","Thal_MD",0.031,0.03,2958.51,1.03,0.304,"cue_var",FALSE,"","Med Thal","pain_percept"
"501","pain","pain","cue","Bstem_PAG",0.057,0.031,2935.27,1.86,0.063,"cue_var",FALSE,"","PAG","pain_percept"
"502","vision","pain","cue","Bstem_PAG",0.036,0.031,2962.57,1.16,0.246,"cue_var",FALSE,"","PAG","pain_percept"
"503","pain","pain","cue","dpIns_L",0.003,0.029,2882.27,0.09,0.931,"cue_var",FALSE,"","Left dpIns","pain_early_percept"
"504","vision","pain","cue","dpIns_L",0.04,0.03,2954.48,1.33,0.183,"cue_var",FALSE,"","Left dpIns","pain_early_percept"
"505","pain","pain","cue","dpIns_R",0.018,0.029,2880.19,0.62,0.535,"cue_var",FALSE,"","Right dpIns","pain_early_percept"
"506","vision","pain","cue","dpIns_R",0.045,0.031,2955.52,1.48,0.14,"cue_var",FALSE,"","Right dpIns","pain_early_percept"
"507","pain","pain","cue","aIns_L",-0.02,0.029,2885.24,-0.68,0.494,"cue_var",FALSE,"","Left aIns","pain_other"
"508","vision","pain","cue","aIns_L",0.029,0.03,2905.95,0.96,0.337,"cue_var",FALSE,"","Left aIns","pain_other"
"509","pain","pain","cue","aIns_R",-0.003,0.029,2886.35,-0.11,0.916,"cue_var",FALSE,"","Right aIns","pain_other"
"510","vision","pain","cue","aIns_R",0.042,0.03,2917.32,1.38,0.168,"cue_var",FALSE,"","Right aIns","pain_other"
"511","pain","pain","cue","aMCC_MPFC",0.024,0.029,2885.92,0.83,0.409,"cue_var",FALSE,"","aMCC","pain_percept"
"512","vision","pain","cue","aMCC_MPFC",0.027,0.03,2951.38,0.89,0.372,"cue_var",FALSE,"","aMCC","pain_percept"
"513","pain","pain","cue","s1_handplus_L",0.031,0.029,2932.87,1.08,0.281,"cue_var",FALSE,"","Left S1 hand","pain_other"
"514","vision","pain","cue","s1_handplus_L",0.052,0.03,2960.03,1.72,0.086,"cue_var",FALSE,"","Left S1 hand","pain_other"
"515","pain","pain","cue","s1_handplus_R",-0.001,0.029,2933.91,-0.05,0.964,"cue_var",FALSE,"","Right S1 hand","pain_other"
"516","vision","pain","cue","s1_handplus_R",0.045,0.03,2956.23,1.49,0.136,"cue_var",FALSE,"","Right S1 hand","pain_other"
"517","pain","higher_level","cue","Ctx_IPS1_L",0.04,0.029,2851.85,1.4,0.16,"cue_var",FALSE,"","Left IPS","visual_higher_level"
"518","vision","higher_level","cue","Ctx_IPS1_L",0.042,0.03,2962.78,1.39,0.163,"cue_var",FALSE,"","Left IPS","visual_higher_level"
"519","pain","higher_level","cue","Ctx_11l_L",-0.026,0.03,2849.02,-0.86,0.392,"cue_var",FALSE,"","Left mid-lateral OFC","pain_higher_level"
"520","vision","higher_level","cue","Ctx_11l_L",0.018,0.03,2944.42,0.61,0.542,"cue_var",FALSE,"","Left mid-lateral OFC","pain_higher_level"
"521","pain","higher_level","cue","Ctx_IPS1_R",0.044,0.029,2857.58,1.54,0.124,"cue_var",FALSE,"","Right IPS","visual_higher_level"
"522","vision","higher_level","cue","Ctx_IPS1_R",0.043,0.03,2960.68,1.45,0.147,"cue_var",FALSE,"","Right IPS","visual_higher_level"
"523","pain","higher_level","cue","Ctx_p9_46v_R",-0.023,0.029,2853.54,-0.78,0.434,"cue_var",FALSE,"","Right dlPFC","pain_higher_level"
"524","vision","higher_level","cue","Ctx_p9_46v_R",0.006,0.031,2961.94,0.2,0.843,"cue_var",FALSE,"","Right dlPFC","pain_higher_level"
"525","pain","higher_level","cue","Ctx_11l_R",-0.009,0.03,2845.67,-0.31,0.757,"cue_var",FALSE,"","Right mid-lateral OFC","pain_higher_level"
"526","vision","higher_level","cue","Ctx_11l_R",0.039,0.03,2946.19,1.27,0.203,"cue_var",FALSE,"","Right mid-lateral OFC","pain_higher_level"
"527","pain","higher_level","cue","NAc_shell_like_R",0.05,0.031,2937.74,1.6,0.109,"cue_var",FALSE,"","Right NAc shell","pain_higher_level"
"528","vision","higher_level","cue","NAc_shell_like_R",0.05,0.031,2872.48,1.6,0.11,"cue_var",FALSE,"","Right NAc shell","pain_higher_level"
"529","pain","higher_level","cue","NAc_core_like_R",0.039,0.03,2941.66,1.29,0.195,"cue_var",FALSE,"","Right NAc core","pain_higher_level"
"530","vision","higher_level","cue","NAc_core_like_R",0.052,0.031,2923.5,1.69,0.091,"cue_var",FALSE,"","Right NAc core","pain_higher_level"
"531","pain","higher_level","cue","NAc_shell_like_L",-0.02,0.031,2934.47,-0.65,0.515,"cue_var",FALSE,"","Left NAc shell","pain_higher_level"
"532","vision","higher_level","cue","NAc_shell_like_L",0.028,0.031,2916.77,0.89,0.372,"cue_var",FALSE,"","Left NAc shell","pain_higher_level"
"533","pain","higher_level","cue","NAc_core_like_L",0.026,0.031,2935.23,0.85,0.393,"cue_var",FALSE,"","Left NAc core","pain_higher_level"
"534","vision","higher_level","cue","NAc_core_like_L",0.074,0.031,2919.67,2.39,0.017,"cue_var",TRUE,"*","Left NAc core","pain_higher_level"
"535","pain","higher_level","cue","Ctx_8C_L_and_Ctx_46_L",-0.006,0.028,2887.22,-0.22,0.827,"cue_var",FALSE,"","Left dlPFC","pain_higher_level"
"536","vision","higher_level","cue","Ctx_8C_L_and_Ctx_46_L",0.013,0.03,2952.06,0.44,0.663,"cue_var",FALSE,"","Left dlPFC","pain_higher_level"
"537","pain","visual","cue","Ctx_V1_L",0.039,0.029,2897.4,1.35,0.177,"cue_var",FALSE,"","Left V1","visual_early_percept"
"538","vision","visual","cue","Ctx_V1_L",0.036,0.03,2958.72,1.2,0.232,"cue_var",FALSE,"","Left V1","visual_early_percept"
"539","pain","visual","cue","Ctx_V2_L",0.037,0.029,2943.43,1.26,0.209,"cue_var",FALSE,"","Left V2","visual_early_percept"
"540","vision","visual","cue","Ctx_V2_L",0.037,0.03,2961.44,1.24,0.216,"cue_var",FALSE,"","Left V2","visual_early_percept"
"541","pain","visual","cue","Ctx_V3_L",0.029,0.029,2943.08,1,0.317,"cue_var",FALSE,"","Left V3","pain_early_percept"
"542","vision","visual","cue","Ctx_V3_L",0.035,0.03,2961.67,1.17,0.244,"cue_var",FALSE,"","Left V3","pain_early_percept"
"543","pain","visual","cue","Ctx_V4_L",0.047,0.03,2939.05,1.56,0.12,"cue_var",FALSE,"","Left V4","pain_early_percept"
"544","vision","visual","cue","Ctx_V4_L",0.035,0.03,2963.92,1.16,0.247,"cue_var",FALSE,"","Left V4","pain_early_percept"
"545","pain","visual","cue","Ctx_V3A_L",0.053,0.03,2891.56,1.8,0.073,"cue_var",FALSE,"","Left V3A","visual_other"
"546","vision","visual","cue","Ctx_V3A_L",0.028,0.03,2957.06,0.95,0.343,"cue_var",FALSE,"","Left V3A","visual_other"
"547","pain","visual","cue","Ctx_V3B_L",0.021,0.029,2937.19,0.74,0.462,"cue_var",FALSE,"","Left V3B","visual_other"
"548","vision","visual","cue","Ctx_V3B_L",0.029,0.029,2956.3,0.98,0.325,"cue_var",FALSE,"","Left V3B","visual_other"
"549","pain","visual","cue","Ctx_MT_L",0,0.028,2897.98,0,0.998,"cue_var",FALSE,"","Left V5 (MT)","pain_early_percept"
"550","vision","visual","cue","Ctx_MT_L",0.022,0.03,2957.48,0.74,0.458,"cue_var",FALSE,"","Left V5 (MT)","pain_early_percept"
"551","pain","visual","cue","Ctx_VMV1_L",-0.001,0.03,2897.66,-0.05,0.961,"cue_var",FALSE,"","Left ventro-medial V1","visual_other"
"552","vision","visual","cue","Ctx_VMV1_L",0.023,0.03,2916.56,0.76,0.445,"cue_var",FALSE,"","Left ventro-medial V1","visual_other"
"553","pain","visual","cue","Ctx_VMV3_L",0.029,0.03,2935.17,0.97,0.331,"cue_var",FALSE,"","Left ventro-medial V3","visual_other"
"554","vision","visual","cue","Ctx_VMV3_L",0.022,0.03,2959.73,0.74,0.46,"cue_var",FALSE,"","Left ventro-medial V3","visual_other"
"555","pain","visual","cue","Ctx_V4t_L",0.048,0.029,2897.45,1.65,0.1,"cue_var",FALSE,"","Left V4t","visual_other"
"556","vision","visual","cue","Ctx_V4t_L",0.058,0.029,2960.35,1.96,0.05,"cue_var",FALSE,"","Left V4t","visual_other"
"557","pain","visual","cue","Ctx_V3CD_L",0.023,0.03,2896.14,0.79,0.432,"cue_var",FALSE,"","Left V3CD","visual_other"
"558","vision","visual","cue","Ctx_V3CD_L",0.049,0.029,2963.09,1.67,0.096,"cue_var",FALSE,"","Left V3CD","visual_other"
"559","pain","visual","cue","Ctx_VMV2_L",0.036,0.03,2936.4,1.22,0.223,"cue_var",FALSE,"","Left ventro-medial V2","visual_other"
"560","vision","visual","cue","Ctx_VMV2_L",0.008,0.03,2954.64,0.26,0.795,"cue_var",FALSE,"","Left ventro-medial V2","visual_other"
"561","pain","visual","cue","Ctx_V1_R",0.035,0.029,2934.21,1.18,0.238,"cue_var",FALSE,"","Right V1","visual_early_percept"
"562","vision","visual","cue","Ctx_V1_R",0.042,0.03,2957.81,1.39,0.165,"cue_var",FALSE,"","Right V1","visual_early_percept"
"563","pain","visual","cue","Ctx_V2_R",0.034,0.029,2940.39,1.15,0.249,"cue_var",FALSE,"","Right V2","visual_early_percept"
"564","vision","visual","cue","Ctx_V2_R",0.054,0.03,2961.83,1.79,0.074,"cue_var",FALSE,"","Right V2","visual_early_percept"
"565","pain","visual","cue","Ctx_V3_R",0.046,0.029,2937.6,1.59,0.112,"cue_var",FALSE,"","Right V3","pain_early_percept"
